field,value,unit,source_id,evidence,data_class,use_status,notes
ucie2_3d_bump_pitch_upper,25,um,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 374",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe page states UCIe-3D supports bump pitches as big as 10-25 microns."
ucie2_3d_bump_pitch_lower_large,10,um,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 374",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe page states UCIe-3D supports bump pitches as big as 10-25 microns."
ucie2_3d_bump_pitch_lower_small,1,um,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 374",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe page states UCIe-3D supports bump pitches down to 1 micron or less."
ucie2_data_rate,32,GT/s,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 392",public_measured_or_benchmark,allowed_for_2_5d_link_sweep,"UCIe 3.0 page says 64 GT/s doubles UCIe 2.0 bandwidth of 32 GT/s."
ucie3_data_rate_low,48,GT/s,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 390-392",public_measured_or_benchmark,allowed_for_2_5d_link_sweep,"UCIe 3.0 page states support for 48 GT/s."
ucie3_data_rate_high,64,GT/s,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 390-392",public_measured_or_benchmark,allowed_for_2_5d_link_sweep,"UCIe 3.0 page states support for 64 GT/s."
ucie2_supports_3d_packaging,true,boolean,UCIe_SPEC_PAGE,"ucie_specifications_page.html, local line around 374",public_measured_or_benchmark,allowed_for_scenario_justification,"UCIe 2.0 page states support for 3D packaging."
ucie1_standard_package_lanes,16,lanes/cluster,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, Table 1 desc",public_measured_or_benchmark,allowed_for_2_5d_link_sweep,"UCIe 1.0 standard package: 16 data lanes per cluster + valid + track + forwarded clock + 2 sideband."
ucie1_advanced_package_lanes,64,lanes/cluster,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, Table 1 desc",public_measured_or_benchmark,allowed_for_2_5d_link_sweep,"UCIe 1.0 advanced package: 64 data lanes per cluster with spare lanes for repair."
ucie1_standard_bandwidth_density,1300+,GB/s/mm,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, text after Table 1",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe 1.0 bandwidth density at 45um bump pitch; ~20X PCIe SERDES."
ucie1_power_efficiency_improvement_vs_pcie,20,times,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, text after Table 1",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe power efficiency ~20X better than PCIe PHY (~10pJ/b)."
ucie1_idle_exit_latency,sub-ns,ns,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, text after Table 1",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"Sub-ns entry/exit vs multi-us for SERDES, enabling 90+% power saving."
ucie11_advanced_column_arrangements,8-10-16,columns,UCIe_SPEC_PAGE,"ucie_2.0_manageability.pdf (UCIe 1.1 section)",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe 1.1 adds 8-col and 16-col arrangements for Advanced Package cost optimization."
ucie11_x32_native_width,true,boolean,UCIe_SPEC_PAGE,"ucie_2.0_manageability.pdf (UCIe 1.1 section)",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe 1.1 introduces x32 native width for ~40% area savings in Advanced Package."
ucie2_dfx_uda_architecture,Hub-Spoke model per chiplet,text,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, Section on UDA",public_measured_or_benchmark,allowed_for_ieee1838_structural,"UCIe 2.0 DFx Architecture (UDA): DMH hub + DMS spokes for test/debug/telemetry across chiplets."
ucie2_management_sideband_bandwidth,800,Mb/s/dir,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, UDA section",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe 2.0 sideband: 800 Mb/s/direction with 4 bumps for dedicated management."
ucie2_management_mainband_bandwidth_per_x8,256,Gb/s/dir,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, UDA section",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe 2.0 dedicated UCIe-S x8 port: 256 Gb/s/direction at 32 GT/s."
ucie3d_bump_pitch_upper,9,um,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, Section on UCIe-3D",public_measured_or_benchmark,allowed_for_3d_link_notes,"UCIe-3D targets bump pitches from 9um down to 1um."
ucie3d_bump_pitch_lower,1,um,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, Section on UCIe-3D",public_measured_or_benchmark,allowed_for_3d_link_notes,"UCIe-3D supports bump pitches down to ~1um, and potentially lower."
ucie3d_bandwidth_density_vs_2_5d,25,times,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, KPI discussion",public_measured_or_benchmark,allowed_for_3d_link_notes,"25um 2.5D vs 5um 3D: 25X more wires in same area."
ucie3d_connection_style,full-area (no shoreline PHY),text,UCIe_SPEC_PAGE,"ucie_3d_packaging_v2.pdf, KPI discussion",public_measured_or_benchmark,allowed_for_3d_link_notes,"UCIe-3D uses full chiplet area for 3D connectivity, not shoreline-limited PHY."
ucie3d_target_power_efficiency_best,0.01,pJ/bit,UCIe_SPEC_PAGE,"UCIe 3.0 specification html, 1um pitch",public_measured_or_benchmark,allowed_for_3d_link_sweep,"UCIe-3D at 1um pitch: >0.01 pJ/b (extreme efficiency)."
ucie3d_target_power_efficiency_9um,0.05,pJ/bit,UCIe_SPEC_PAGE,"UCIe 3.0 specification html, 9um pitch",public_measured_or_benchmark,allowed_for_3d_link_sweep,"UCIe-3D at 9um pitch: <0.05 pJ/b."
ucie3d_bandwidth_density_range,4000-300000,GB/s/mm2,UCIe_SPEC_PAGE,"UCIe 3.0 specification html",public_measured_or_benchmark,allowed_for_3d_link_notes,"UCIe-3D bandwidth density: ~4 TB/s/mm2 at 9um to ~300 TB/s/mm2 at 1um."
ucie3d_data_rate,4,GT/s,UCIe_SPEC_PAGE,"UCIe 3.0 specification html",public_measured_or_benchmark,allowed_for_3d_link_sweep,"UCIe-3D PHY data rate: up to 4 GT/s per lane."
ucie3d_cluster_width,80,lanes,UCIe_SPEC_PAGE,"UCIe 3.0 specification html",public_measured_or_benchmark,allowed_for_3d_link_notes,"UCIe-3D cluster width up to 80 lanes."
ucie_advanced_package_reach,2,mm,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, Table 1 ref",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe Advanced Package (2.5D) channel reach ≤ 2 mm."
ucie_standard_package_reach,25,mm,UCIe_SPEC_PAGE,"ucie_1.1_white_paper.pdf, Table 1 ref",public_measured_or_benchmark,allowed_for_2_5d_link_notes,"UCIe Standard Package (2D) channel reach ≤ 25 mm."
