case_id,method_id,makespan_s,peak_power_w,fpp_utilization,num_sessions,status,error
m10_small_d695_3d_stack,po_sen_gupta_2011,0.0012421335625000002,5.27,0.0029413604223418603,14,ok,
m10_small_d695_3d_stack,pure_serial,0.0036202799999999996,2.1799999999999997,0.0,68,ok,
m10_small_d695_3d_stack,fixed_fastest,0.0012294400000000003,2.2493999999999996,0.002971728998568453,68,ok,
m10_medium_p22810_3d_stack,po_sen_gupta_2011,0.0024338604375,5.27,0.05831905367827813,22,ok,
m10_medium_p22810_3d_stack,pure_serial,0.09320772,2.1799999999999997,0.0,108,ok,
m10_medium_p22810_3d_stack,fixed_fastest,0.0022778200000000003,2.2584999999999997,0.06231415893266368,110,ok,
m10_large_p34392_3d_stack,po_sen_gupta_2011,0.0038335671875000003,5.27,0.08448715560694733,28,ok,
m10_large_p34392_3d_stack,pure_serial,0.21089507999999996,2.1799999999999997,0.0,138,ok,
m10_large_p34392_3d_stack,fixed_fastest,0.0034926920625,2.2377,0.09273282090267297,147,ok,
m21_pressure_medium_p22810_3d_stack,po_sen_gupta_2011,0.09834440000000001,4.32,0.0,22,ok,
m21_pressure_medium_p22810_3d_stack,pure_serial,158.42156583999991,2.48,0.0,108,ok,
m21_pressure_medium_p22810_3d_stack,fixed_fastest,0.09601248000000003,4.49,0.0,60,ok,
m21_pressure_large_p34392_3d_stack,po_sen_gupta_2011,0.12358616000000003,4.32,0.0,28,ok,
m21_pressure_large_p34392_3d_stack,pure_serial,425.6932072800001,2.48,0.0,138,ok,
m21_pressure_large_p34392_3d_stack,fixed_fastest,0.12001504000000005,4.53,0.0,78,ok,
m21_pressure_xlarge_p93791_3d_stack,po_sen_gupta_2011,0.15057143999999995,4.32,0.0,36,ok,
m21_pressure_xlarge_p93791_3d_stack,pure_serial,142.13775767999968,2.48,0.0,178,ok,
m21_pressure_xlarge_p93791_3d_stack,fixed_fastest,0.14401888000000007,4.61,0.0,105,ok,
