task_id,task_type,die_id,start_time,end_time,duration,power,fpp_lanes_used,access_resource,dwr_segment,is_capture_phase
instrument_access_die0,instrument_access,0,0.0,0.0004,0.0004,0.2,0,PTAP_STAP_SERIAL,DWR_NONE,False
scan_shift_die1_a,scan,1,0.0,0.0028,0.0028,1.55,1,FPP_SCAN,dwr_die1,False
instrument_access_die2,instrument_access,2,0.0004,0.0008,0.0004,0.2,0,PTAP_STAP_SERIAL,DWR_NONE,False
instrument_access_die3,instrument_access,3,0.0008,0.0012000000000000001,0.0004,0.2,0,PTAP_STAP_SERIAL,DWR_NONE,False
instrument_access_die1,instrument_access,1,0.0012000000000000001,0.0016,0.0004,0.2,0,PTAP_STAP_SERIAL,DWR_NONE,False
scan_shift_die3_a,scan,3,0.0028,0.0056,0.0028,1.55,1,FPP_SCAN,dwr_die3,False
scan_shift_die0_a,scan,0,0.0056,0.0084,0.0028,1.6,1,FPP_SCAN,dwr_die0,False
scan_shift_die2_a,scan,2,0.0084,0.0112,0.0028,1.6,1,FPP_SCAN,dwr_die2,False
dwr_extest_die0_die1,dwr_extest,0,0.0112,0.013,0.0018,1.1,1,FPP_DWR,dwr_die0_die1,False
scan_shift_die1_b,scan,1,0.0112,0.0138,0.0026,1.45,1,FPP_SCAN,dwr_die1,False
dwr_extest_die1_die2,dwr_extest,1,0.013,0.014799999999999999,0.0018,1.1,1,FPP_DWR,dwr_die1_die2,False
scan_shift_die3_b,scan,3,0.0138,0.016399999999999998,0.0026,1.45,1,FPP_SCAN,dwr_die3,False
dwr_extest_die2_die3,dwr_extest,2,0.014799999999999999,0.0166,0.0018,1.1,1,FPP_DWR,dwr_die2_die3,False
scan_shift_die0_b,scan,0,0.0166,0.019200000000000002,0.0026,1.5,1,FPP_SCAN,dwr_die0,False
scan_shift_die2_b,scan,2,0.019200000000000002,0.0218,0.0026,1.5,1,FPP_SCAN,dwr_die2,False
bist_die3,bist,3,0.0218,0.0248,0.003,1.5,0,BIST_LOCAL,DWR_NONE,False
bist_die1,bist,1,0.0248,0.0278,0.003,1.55,0,BIST_LOCAL,DWR_NONE,False
bist_die0,bist,0,0.0278,0.030799999999999998,0.003,1.6,0,BIST_LOCAL,DWR_NONE,False
bist_die2,bist,2,0.030799999999999998,0.0338,0.003,1.6,0,BIST_LOCAL,DWR_NONE,False
scan_capture_die1,scan,1,0.0338,0.034999999999999996,0.0012,1.75,1,FPP_SCAN,dwr_die1,True
scan_capture_die3,scan,3,0.034999999999999996,0.036199999999999996,0.0012,1.75,1,FPP_SCAN,dwr_die3,True
scan_capture_die0,scan,0,0.036199999999999996,0.037399999999999996,0.0012,1.8,1,FPP_SCAN,dwr_die0,True
scan_capture_die2,scan,2,0.037399999999999996,0.038599999999999995,0.0012,1.8,1,FPP_SCAN,dwr_die2,True
