thermal_limit,scheduler_name,tat,peak_temperature,peak_ir_drop,temperature_violation_count,voltage_violation_count,average_parallelism,max_parallelism,fpp_lane_utilization_average,dummy_cycle_count,dummy_time_total,capture_staggering_applied,constraints_were_binding,over_constrained
25.5,serial_ieee1838_style,0.04539999999999999,26.223359126105755,0.1125,229,0,1.0000000000000002,1,0.35022026431718073,0,0.0,False,False,True
25.5,bandwidth_greedy,0.0168,26.47090873805862,0.571875,89,71,2.702380952380952,7,0.9464285714285715,0,0.0,False,False,True
25.5,ptv_aware,0.05239999999999996,25.741695687489898,0.159375,117,0,0.8664122137404586,2,0.30343511450381705,63,0.012600000000000007,True,True,True
26.0,serial_ieee1838_style,0.04539999999999999,26.223359126105755,0.1125,50,0,1.0000000000000002,1,0.35022026431718073,0,0.0,False,False,False
26.0,bandwidth_greedy,0.0168,26.47090873805862,0.571875,74,71,2.702380952380952,7,0.9464285714285715,0,0.0,False,False,False
26.0,ptv_aware,0.038599999999999995,25.803373930181543,0.159375,0,0,1.1761658031088082,2,0.41191709844559593,0,0.0,True,True,False
26.5,serial_ieee1838_style,0.04539999999999999,26.223359126105755,0.1125,0,0,1.0000000000000002,1,0.35022026431718073,0,0.0,False,False,False
26.5,bandwidth_greedy,0.0168,26.47090873805862,0.571875,0,71,2.702380952380952,7,0.9464285714285715,0,0.0,False,False,False
26.5,ptv_aware,0.038599999999999995,25.803373930181543,0.159375,0,0,1.1761658031088082,2,0.41191709844559593,0,0.0,True,True,False
27.0,serial_ieee1838_style,0.04539999999999999,26.223359126105755,0.1125,0,0,1.0000000000000002,1,0.35022026431718073,0,0.0,False,False,False
27.0,bandwidth_greedy,0.0168,26.47090873805862,0.571875,0,71,2.702380952380952,7,0.9464285714285715,0,0.0,False,False,False
27.0,ptv_aware,0.038599999999999995,25.803373930181543,0.159375,0,0,1.1761658031088082,2,0.41191709844559593,0,0.0,True,True,False
28.0,serial_ieee1838_style,0.04539999999999999,26.223359126105755,0.1125,0,0,1.0000000000000002,1,0.35022026431718073,0,0.0,False,False,False
28.0,bandwidth_greedy,0.0168,26.47090873805862,0.571875,0,71,2.702380952380952,7,0.9464285714285715,0,0.0,False,False,False
28.0,ptv_aware,0.038599999999999995,25.803373930181543,0.159375,0,0,1.1761658031088082,2,0.41191709844559593,0,0.0,True,True,False
